Year	Species	X	Y	Ninds	Sex	Age	Stage
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0
0	0	592	243	1	0	0	0
0	0	651	257	1	0	0	0
0	0	665	248	1	0	0	0
0	0	669	239	1	0	0	0